2026-04-26 15:44:06,918 [INFO] __main__: Dashboard Started
2026-04-26 15:45:55,171 [WARNING] __main__: Detected Keyboard Interrupt
2026-04-26 15:46:22,875 [INFO] __main__: Display Slept
2026-04-26 15:46:49,709 [WARNING] __main__: Detected Keyboard Interrupt
2026-04-26 15:47:18,605 [INFO] __main__: Dashboard Started
2026-04-26 15:47:29,588 [WARNING] __main__: Detected Keyboard Interrupt
2026-04-26 15:47:57,218 [INFO] __main__: Display Slept
2026-04-26 15:48:44,521 [INFO] __main__: Dashboard Started
2026-04-27 10:55:04,090 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff8f5a39d0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:55:04,090 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:55:07,162 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7ddaafd0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:55:07,162 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:56:03,994 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7ddaaad0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:56:03,994 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:56:07,066 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff8f5a39d0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:56:07,066 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:57:03,962 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7ddaae90>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:57:03,962 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:57:07,034 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7de960d0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:57:07,034 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:58:03,994 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff8f5a39d0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:58:03,994 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:58:07,066 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7de96fd0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:58:07,066 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:59:04,122 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff8f5a39d0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:59:04,122 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:59:07,194 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7de97250>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:59:07,194 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:00:30,938 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff8f5a39d0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:00:30,938 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:00:34,010 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7de97250>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:00:34,010 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:02:04,026 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7ddaae90>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:02:04,026 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:02:07,098 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7de960d0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:02:07,098 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:03:03,898 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7ddaae90>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:03:03,898 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:03:06,970 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7de95f90>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:03:06,970 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:04:03,962 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7de95f90>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:04:03,962 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:04:07,034 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7c8fc2d0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:04:07,034 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:05:04,090 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7ddaae90>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:05:04,090 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:05:07,162 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7de960d0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:05:07,162 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:06:03,930 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7de95f90>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:06:03,930 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:06:07,002 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7ddaae90>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:06:07,002 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:07:03,866 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7de96fd0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:07:03,866 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 11:07:06,938 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7c8fc910>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 11:07:06,938 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
